date,forecast_inflation_yoy_pct,lower_ci,upper_ci
2026-01-31,4.279525267496461,-385275.84090476733,385284.3999553023
2026-02-28,4.521619545899073,-576484.883366713,576493.9266058047
2026-03-31,4.481662868613931,-714349.7191654554,714358.6824911927
2026-04-30,4.507704913827988,-826142.0505926831,826151.0660025108
2026-05-31,4.581223892820623,-921501.8884838744,921511.0509316601
2026-06-30,4.47173524076855,-1005206.7268783653,1005215.6703488468
2026-07-31,4.216053849362446,-1080050.4103664288,1080058.8424741274
2026-08-31,4.357607204911739,-1147840.4104868795,1147849.1257012894
2026-09-30,4.27565510045501,-1209830.8718638716,1209839.4231740723
2026-10-31,4.3975017515140475,-1266935.1609733878,1266943.9559768909
2026-11-30,4.504040516999067,-1319845.57910192,1319854.5871829537
2026-12-31,4.670644823590244,-1369102.229943046,1369111.5712326935
Move inflation_12m_forecast.csv to the artifacts folder
